year,closing_price,year_open,year_high,year_low,year_close
2019,1304 ,1287 ,1346 ,1279 ,1291 
2018,1269 ,1313 ,1360 ,1177 ,1282 
2017,1260 ,1162 ,1351 ,1162 ,1297 
2016,1252 ,1075 ,1373 ,1074 ,1152 
2015,1159 ,1184 ,1298 ,1050 ,1060 
2014,1266 ,1220 ,1379 ,1145 ,1199 
2013,1410 ,1682 ,1693 ,1193 ,1202 
2012,1669 ,1590 ,1790 ,1538 ,1664 
2011,1573 ,1406 ,1897 ,1316 ,1575 
2010,1227 ,1113 ,1426 ,1052 ,1410 
2009,974 ,870 ,1218 ,813 ,1104 
2008,872 ,841 ,1024 ,693 ,865 
2007,696 ,641 ,842 ,608 ,837 
2006,604 ,521 ,726 ,521 ,636 
2005,445 ,427 ,538 ,412 ,513 
2004,410 ,415 ,456 ,374 ,438 
2003,364 ,342 ,417 ,320 ,417 
2002,310 ,278 ,349 ,278 ,343 
2001,271 ,273 ,293 ,257 ,277 
2000,279 ,282 ,317 ,264 ,273 
1999,279 ,288 ,326 ,253 ,291 
1998,294 ,288 ,315 ,273 ,287 
1997,331 ,368 ,368 ,283 ,289 
1996,388 ,387 ,416 ,368 ,370 
1995,384 ,381 ,397 ,372 ,387 
1994,384 ,395 ,398 ,370 ,383 
1993,360 ,329 ,407 ,327 ,391 
1992,344 ,351 ,359 ,330 ,333 
1991,362 ,393 ,404 ,344 ,353 
1990,384 ,402 ,421 ,347 ,391 
1989,381 ,414 ,417 ,358 ,401 
1988,437 ,484 ,485 ,389 ,410 
1987,447 ,402 ,503 ,393 ,487 
1986,368 ,327 ,443 ,326 ,391 
1985,317 ,306 ,339 ,285 ,327 
1984,361 ,384 ,407 ,303 ,309 
1983,424 ,453 ,512 ,375 ,382 
1982,376 ,399 ,489 ,297 ,448 
1981,459 ,592 ,599 ,392 ,400 
1980,615 ,559 ,843 ,474 ,590 
1979,307 ,227 ,524 ,217 ,524 
1978,194 ,169 ,244 ,166 ,225 
1977,148 ,136 ,168 ,129 ,166 
1976,125 ,140 ,140 ,103 ,135 
1975,161 ,185 ,186 ,129 ,140 
1974,159 ,115 ,198 ,115 ,188 
1973,97 ,65 ,127 ,64 ,112 
1972,58 ,44 ,70 ,44 ,65 
1971,41 ,37 ,44 ,37 ,44 
1970,36 ,35 ,39 ,35 ,37 
1969,41 ,42 ,44 ,35 ,35 